rep,id,g,d,P0
3,121,28.4821,0.41507,43.9548
4,121,18.2646,0.282449,58.0859
1,122,48.3391,0.485167,35.7053
2,122,35.3247,0.345332,43.7873
3,122,29.0978,0.285872,45.9042
4,122,39.8489,0.397704,36.3632
1,123,56.3887,0.487038,58.5214
2,123,40.3043,0.372338,67.4596
3,123,37.242,0.320293,69.1433
4,123,39.9794,0.347763,70.9075
1,124,33.0856,0.367271,52.784
2,124,36.6631,0.405734,57.9915
3,124,29.6924,0.328613,53.7948
4,124,42.678,0.480493,47.1943
1,125,31.3059,0.472629,41.0149
2,125,35.3577,0.562948,37.1081
3,125,27.8308,0.480578,38.8057
4,125,26.8487,0.413666,45.5772
1,126,31.6607,0.704679,26.416
2,126,28.0794,0.593577,29.8386
3,126,23.342,0.531893,33.5581
4,126,22.7089,0.588494,32.148
1,127,66.7444,0.365132,26.2547
2,127,56.7498,0.323283,23.753
3,127,47.7349,0.280936,37.0104
4,127,52.1175,0.349192,17.8845
1,128,19.5131,0.415036,38.4502
2,128,18.7511,0.35569,44.2549
3,128,26.296,0.529371,36.087
4,128,19.6915,0.530562,48.0113
1,129,19.0462,0.447434,39.6216
2,129,19.9518,0.515487,43.5861
3,129,28.4093,0.615966,29.0727
4,129,27.5364,0.429725,28.9758
1,130,57.5568,0.564923,55.3846
2,130,34.8692,0.349882,65.7547
3,130,37.0185,0.351612,72.9377
4,130,31.0838,0.277899,67.0456
1,131,40.6111,0.444792,76.1774
2,131,31.681,0.315367,73.8375
3,131,25.1289,0.247451,81.7057
4,131,35.9043,0.358961,69.6443
1,132,21.4488,0.371239,41.0233
2,132,19.9515,0.284901,36.0713
3,132,34.251,0.624966,34.3552
4,132,19.588,0.40674,25.7818
1,133,23.9869,0.386234,30.6696
2,133,27.2457,0.488141,31.549
3,133,34.019,0.54487,17.8678
4,133,30.8101,0.491117,20.609
1,134,41.4259,0.329944,14.6396
2,134,35.1613,0.320394,26.0354
3,134,27.6645,0.234931,31.5806
4,134,33.1299,0.296667,23.2394
1,135,53.8902,0.398844,59.0502
2,135,61.6466,0.489776,45.2009
3,135,66.0852,0.486553,43.1227
4,135,65.0346,0.468517,46.69
1,136,28.9371,0.242401,41.6997
2,136,31.1486,0.344315,42.0474
3,136,44.0874,0.463592,50.1469
4,136,35.9905,0.293544,46.2357
1,137,77.3711,0.531878,41.4348
2,137,77.5489,0.604139,58.8296
3,137,53.1538,0.376433,50.8418
4,137,65.1641,0.459357,52.7178
1,138,32.046,0.336561,54.967
2,138,38.0275,0.395551,57.2004
3,138,40.532,0.471763,51.3797
4,138,43.9117,0.395498,52.1014
1,139,20.5373,0.338289,66.8079
2,139,25.7968,0.347471,61.9956
3,139,35.0624,0.601545,69.7701
4,139,32.4921,0.457041,66.2832
1,140,23.6506,0.463435,29.9209
2,140,36.2919,0.699707,28.7959
3,140,28.0034,0.484556,22.2886
4,140,21.4673,0.442364,40.0129
1,141,16.9101,0.276182,34.2812
2,141,22.9426,0.369815,44.1507
3,141,38.6752,0.706052,33.2336
4,141,32.601,0.607381,42.7817
1,142,45.0431,0.524609,43.1018
2,142,41.1391,0.429898,48.2903
3,142,27.9456,0.319061,47.1507
4,142,46.0421,0.448107,34.0612
1,143,30.1371,0.473553,40.5274
2,143,28.4765,0.469594,38.0342
3,143,23.8843,0.407634,45.4582
4,143,33.6514,0.623612,54.8453
1,144,33.8612,0.32983,33.9141
2,144,32.2159,0.405646,43.7368
3,144,39.2566,0.439107,38.0489
4,144,33.9128,0.377974,45.3935
1,145,50.2156,0.555748,53.1061
2,145,33.2961,0.343935,45.3309
3,145,31.8109,0.284333,46.1374
4,145,44.3169,0.41912,47.9517
1,146,34.681,0.324395,58.2438
2,146,32.5858,0.386922,60.9243
3,146,49.391,0.55941,55.4011
4,146,48.4556,0.569906,52.9987
1,147,30.0099,0.405546,33.773
2,147,27.4431,0.375679,36.9225
3,147,25.1181,0.292021,27.4171
4,147,25.3887,0.346527,23.2987
1,148,54.7973,0.519065,43.1098
2,148,42.6985,0.371544,38.2866
3,148,46.4023,0.395315,48.2875
4,148,57.4042,0.514543,35.9469
1,149,32.3339,0.414589,56.5648
2,149,28.3833,0.382643,52.6357
3,149,38.1438,0.499934,58.3743
4,149,30.2255,0.356604,53.3319
1,150,49.6567,0.482613,104.626
2,150,39.358,0.346512,113.327
3,150,36.1755,0.30688,107.583
4,150,31.9521,0.27064,111.068
1,151,22.4869,0.594977,49.2859
2,151,22.8134,0.611113,44.1191
3,151,27.7592,0.647802,41.09
4,151,22.7446,0.422976,39.8137
1,152,22.8106,0.480643,41.3882
2,152,18.5595,0.365937,31.0216
3,152,21.253,0.424612,32.7413
4,152,26.6511,0.55835,36.218
1,153,36.9303,0.496829,85.4187
2,153,29.5298,0.370671,74.3885
