rep,id,V0,delta
2,214,451847.431282072,0.158823577824114
3,214,585736.328677426,0.151467872411752
4,214,868270.862885868,0.157031953877337
1,215,23736.6748276134,0.146842068954619
2,215,25322.1561538895,0.141927904558234
3,215,23119.196234065,0.126577653025047
4,215,10717.3794162482,0.141451168804359
1,216,25003.1808027195,0.13380931556619
2,216,15778.5762041498,0.159443707557045
3,216,45620.3305215975,0.168720533614995
4,216,47450.0120914305,0.168121179578992
1,217,100282.49955533,0.152879818127949
2,217,46982.1761964972,0.178901499648167
3,217,23596.4722747041,0.158595590525232
4,217,95830.9556771708,0.154650221501215
1,218,87788.5947959376,0.155723550582021
2,218,19439.4001463552,0.165360180943975
3,218,12574.7059199972,0.157317011859799
4,218,49661.9074813258,0.152628738454056
1,219,12347.4366257186,0.150377003893835
2,219,26040.8362674693,0.161896393647396
3,219,48942.6893777722,0.148828120573268
4,219,68081.0994153435,0.167555101905538
1,220,42779.1094358216,0.159664550196747
2,220,16357.9058495802,0.14661707124555
3,220,26814.7932209056,0.162129326218642
4,220,43937.4582611184,0.178783039122514
1,221,387373.726394125,0.148849358837778
2,221,1416383.85390108,0.161410129756309
3,221,453875.998995578,0.146496708647954
4,221,232005.251221704,0.138676513868727
1,223,237260.904035028,0.16354861779635
2,223,99043.4677644435,0.170461369984165
3,223,310847.556546793,0.143925552474317
4,223,77475.3437561604,0.150715587989082
1,224,345866.886710554,0.125880803532807
2,224,74976.8094393159,0.158986102485141
3,224,251840.488968113,0.153176974139921
4,224,194485.15308989,0.150524639969585
1,225,126384.822209228,0.165631854025725
2,225,143054.225396314,0.154211532896149
3,225,162284.247865038,0.150178198832728
4,225,148391.981628571,0.15371646255324
1,226,71236.7548523633,0.153020235948314
2,226,54595.5394692275,0.153581025244981
3,226,64596.631097061,0.156049732730209
4,226,73424.2993201453,0.169645738599085
1,227,303120.39609825,0.152264556011112
2,227,282692.779855958,0.148273038765699
3,227,53277.3461844323,0.147279093030227
4,227,236911.687459447,0.156046209532908
1,228,214534.207697902,0.15936017041088
2,228,778993.82338939,0.156656244571007
3,228,552181.157508431,0.149773726877566
4,228,489001.863174806,0.147071489097112
1,230,249659.642429944,0.138977038936721
2,230,108704.350359005,0.165848352350446
3,230,631837.993515092,0.145178695198492
4,230,83534.7824094942,0.143337198658479
1,231,390113.181141565,0.164060695681521
2,231,194047.052100995,0.143566487520844
3,231,91665.968833224,0.150492319374259
4,231,137750.472562197,0.131194635406011
1,233,6252.9444482798,0.141656742854532
2,233,25816.9018377595,0.148537756193245
3,233,22224.9243498509,0.151987852966772
4,233,16024.6120457774,0.148499475144702
1,234,136851.343120428,0.139854275693015
2,234,42110.9506682928,0.13528256011684
3,234,111256.096156128,0.152584289533748
4,234,46905.1975876091,0.148918611402831
1,235,11603.7982722499,0.170405254689582
2,235,5306.73707271928,0.165379996454912
3,235,11167.5540791321,0.14416222789496
4,235,18940.8999195246,0.157762498414664
1,238,923547.768506965,0.165913553190777
2,238,335224.229413328,0.164224792844438
3,238,250345.647398644,0.152655079625857
4,238,642770.641561187,0.150475709677613
1,239,159267.952419145,0.144692548325969
2,239,57045.8280710699,0.151868436745181
3,239,100406.196750962,0.152772066710706
4,239,186914.042476148,0.141942082461837
1,240,320173.261632224,0.163967050534836
2,240,416327.753259474,0.149375931491221
3,240,220776.704776131,0.150069686515454
4,240,256125.416754125,0.155041628606033
1,242,258122.453041812,0.156252115350412
2,242,42247.9088778591,0.148529003274682
3,242,71522.8064361824,0.153657118496278
4,242,41987.3247953261,0.160349413760175
1,243,66198.0782570023,0.149202569606845
2,243,62908.794354481,0.130549009435469
3,243,21211.7223836469,0.15156782082783
4,243,236983.975448997,0.152171009593053
1,245,18018.1525229613,0.143501693505593
2,245,18574.5070274344,0.14913816218063
3,245,48076.9585270074,0.155404309601654
4,245,33010.210406155,0.16257486002661
1,247,30112.9539705275,0.152643152006242
2,247,60911.5882845308,0.134354593100498
3,247,19005.0646061043,0.13695902833162
4,247,71462.351637472,0.153919004744026
1,248,1331303.33145963,0.139134056897342
2,248,1557562.38740172,0.160072785859045
3,248,1731684.28178274,0.16696688314482
4,248,1257595.06007455,0.150149798264322
1,249,1403317.94477023,0.150368259299673
2,249,2772699.88857324,0.148946154373827
3,249,1654318.80351497,0.146229626927643
4,249,2366802.7457271,0.135800935251815
1,250,257022.434573746,0.151810286238927
2,250,125153.686166947,0.135755480492643
3,250,298617.475284259,0.15404391133459
4,250,324804.694795348,0.141340030720706
